name,nct_ids,trial_count,evidence_used,previous_pipeline_scope,new_pipeline_scope,diagnostic_subtype,confidence,previously_leaked_into_therapeutic_dashboard
11C-ER176,NCT03744312; NCT03958630; NCT04576793; NCT04840979; NCT06384378,5,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,TSPO/neuroinflammation PET tracer,high,True
11C-JNJ-63779586,NCT03089918,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
11C-L-deprenyl-D2,NCT01701089,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
11C-MC1,NCT04396873,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
11C-PS13,NCT04396873,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
123-I MNI-168,NCT00870519,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
123-I MNI-187 Injection and Imaging Procedures,NCT00456417,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
123-I MNI-340,NCT00968097,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
18F-92,NCT04926272,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,Amyloid PET tracer,high,True
18F-AV-133,NCT01503944,1,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),Therapeutic Drug,Diagnostic Agent,PET tracer,high,True
