dashboard_display_name,nih_agent,match_tier,canonical_name_differs,dashboard_drug_type,nih_modality,drug_type_conflict,dashboard_target,nih_cadro,nih_cadro_mapped_target,target_conflict,dashboard_sponsor,nih_sponsor,company_conflict,dashboard_phase,nih_phase,phase_conflict,nih_mechanism_of_action
ACP-204,ACP‐204,normalized_exact,True,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.; ACADIA Pharmaceuticals Inc.,False,Phase 3,Phase 3,False,Selective antagonist/inverse agonist of 5‐hydroxytryptamine (serotonin) receptor subtype 2A
AR1001,AR1001,exact_canonical,False,Small Molecule,small molecule,False,Neuroprotection,Synaptic plasticity/ neuroprotection,Neuroprotection,False,"AriBio Co., Ltd.","AriBio Co., Ltd.",False,Phase 3,Phase 3,False,Phosphodiesterase 5 (PDE‐5) inhibitor; improves synaptic plasticity
Caffeine,Caffeine,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,"University Hospital, Lille","University Hospital, Lille",False,Phase 3,Phase 3,False,Adenosine antagonist; non‐specific phosphodiesterase inhibitor
Donanemab,Donanemab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Eli Lilly and Company; Paul S. Aisen,Eli Lilly and Company; Eli Lilly and Company; Eli Lilly and Company; Eli Lilly and Company; Banner Health,False,Phase 3,Phase 3,False,Monoclonal antibody specific for pyroglutamate form of Aβ
Donepezil,Donepezil,exact_canonical,False,Small Molecule,,False,Symptomatic,Neurotransmitter receptors,Symptomatic,False,"Asan Medical Center; Assistance Publique - Hôpitaux de Paris; Beersheva Mental Health Center; Eisai Inc.; Guang'anmen Hospital of China Academy of Chinese Medical Sciences; Icure Pharmaceutical Inc.; Merck Sharp & Dohme LLC; University Hospital, Lille; Vanderbilt University",Assistance Publique—Hôpitaux de Paris,False,Phase 3,Phase 3,False,Cholinesterase inhibitor to raise synaptic levels of brain acetylcholine
Escitalopram,Escitalopram,exact_canonical,False,Small Molecule,,False,Neuropsychiatric,Neurotransmitter receptors,Neuropsychiatric,False,JHSPH Center for Clinical Trials; University of British Columbia,JHSPH Center for Clinical Trials,False,Phase 3,Phase 3,False,Selective serotonin reuptake inhibitor
E2814,Etalanetug (E2814) + Lecanemab (BAN2401),exact_alias,False,Small Molecule,biologic,True,Tau,Multi‐target,no_dashboard_equivalent,False,Eisai Inc.,Eisai Inc.,False,Phase 2,Phase 2,False,Anti‐tau monoclonal antibody plus anti‐amyloid monoclonal antibody
Gantenerumab,Gantenerumab,exact_canonical,False,Biologic,biologic,False,Amyloid,Amyloid‐beta,Amyloid,False,Chugai Pharmaceutical; Hoffmann-La Roche; Washington University School of Medicine,Washington University School of Medicine,False,Phase 3,Phase 3,False,Monoclonal antibody directed at Aβ plaques and oligomers
Guanfacine,Guanfacine,exact_canonical,False,Small Molecule,,False,Other,Neurotransmitter receptors,Symptomatic,True,Imperial College London,Imperial College London,False,Phase 3,Phase 3,False,Alpha‐2 adrenergic agonist to enhance noradrenergic function
Huperzine A,Huperzine A,exact_canonical,False,Small Molecule,,False,Symptomatic,Neurotransmitter receptors,Symptomatic,False,"National Institute on Aging (NIA); Shandong Luye Pharmaceutical Co., Ltd.; Wanbangde Pharmaceutical Group Co., LTD","Wanbangde Pharmaceutical Group Co., LTD",False,Phase 3,Phase 3,False,Cholinesterase inhibitor to raise synaptic levels of brain acetylcholine
