nct_id,title,phase_clean,drug_type,target,status_clean,is_aribio,developed_drug,developed_drug_normalized,drug_classification,classification_reason,official_pipeline_match,official_source_url,verification_status,classification_confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT02213458,Care Ecosystem: Navigating Patients and Families Through Stages of Care,NA,Non-Drug/Behavioral,Other,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT01764243,Safety and Efficacy of MT-4666,Phase 2,Small Molecule,Other,Trial Completed,False,MT-4666,mt 4666,investigational_therapeutic_unverified,sole investigational candidate identified (MT-4666); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00626613,The Relationship Between Risperdal Treatment and Quality of Life in Patients With Alzheimer's Disease and Behavioural and Psychological Symptoms of Dementia (BPSD),Phase 4,Small Molecule,Other,Unknown,False,"Risperdal,reminyl",risperdal reminyl,investigational_therapeutic_unverified,"sole investigational candidate identified (Risperdal,reminyl); not yet confirmed via official pipeline",False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02247180,Cognitive Rehabilitation in Alzheimer's Disease,NA,Non-Drug/Behavioral,Other,Unknown,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT02362880,Study of Genetic Alzheimer's Disease Mutation Carriers in Preclinical Stages of the Disease 18F-Florbetaben Positron Emission Tomography Study,NA,Non-Drug/Behavioral,Amyloid,Discontinued,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
NCT04798989,A Study of the Effects of CY6463 in Participants With Alzheimer's Disease With Vascular Pathology,Phase 2,Small Molecule,Other,Discontinued,False,CY6463,cy6463,investigational_therapeutic_unverified,sole investigational candidate identified (CY6463); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03282097,Decisions About Cancer Screening in Alzheimer's Disease,NA,Non-Drug/Behavioral,Other,Trial Completed,False,Home safety guide,home safety guide,investigational_therapeutic_unverified,sole investigational candidate identified (Home safety guide); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00649220,Memantine and Antipsychotics Use,Phase 4,Small Molecule,Symptomatic,Discontinued,False,Memantine,memantine,investigational_therapeutic_unverified,sole investigational candidate identified (Memantine); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT01569997,Impact of Systematic Tracking of Dementia Cases on the Rate of Hospitalization in Emergency Care Units,NA,Non-Drug/Behavioral,Other,Trial Completed,False,MultiDisciplinary Team Meetings (MDTM),multidisciplinary team meetings mdtm,investigational_therapeutic_unverified,sole investigational candidate identified (MultiDisciplinary Team Meetings (MDTM)); not yet confirmed via official pipeline,False,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03954210,SIESTA: Sleep Intervention to Enhance Cognitive Status and Reduce Beta Amyloid,NA,Non-Drug/Behavioral,Amyloid,Trial Completed,False,,,no_therapeutic_candidate,no drug/biological therapeutic candidate found among this trial's interventions,False,,not_applicable,high,False,Exclude,no drug/biological therapeutic candidate found among this trial's interventions,rule_classification,high,False,
