NCT Number,Sponsor,Study Title,intervention_type,intervention_name,normalized_name,classification,classification_reason,official_pipeline_match,matched_pipeline_drug,official_source_url,verification_status,confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT05792163,SciNeuro,A First Time in Human Study of SNP318 as a Treatment for Neurodegenerative Diseases Including Alzheimer's Disease,DRUG,SNP318 (A),snp318 a,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05792163,SciNeuro,A First Time in Human Study of SNP318 as a Treatment for Neurodegenerative Diseases Including Alzheimer's Disease,DRUG,Placebo (B),placebo b,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04745104,Atridia Pty Ltd.,A Trial of SHR-1707 in Healthy Young Adult and Elderly Subjects,DRUG,SHR-1707,shr 1707,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04745104,Atridia Pty Ltd.,A Trial of SHR-1707 in Healthy Young Adult and Elderly Subjects,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04430517,Mclean Hospital,Effects of Nicotinamide Riboside on Bioenergetics and Oxidative Stress in Mild Cognitive Impairment/Alzheimer's Dementia,DRUG,Nicotinamide riboside,nicotinamide riboside,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05040217,Mark Tuszynski,A Clinical Trial of AAV2-BDNF Gene Therapy in Early Alzheimer's Disease and Mild Cognitive Impairment,GENETIC,AAV2-BDNF Gene Therapy,aav2 bdnf gene therapy,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Therapeutic Drug,name indicates an actual gene-therapy product (vector/AAV/gene-therapy wording),rule_keyword,medium,True,
NCT05040217,Mark Tuszynski,A Clinical Trial of AAV2-BDNF Gene Therapy in Early Alzheimer's Disease and Mild Cognitive Impairment,BIOLOGICAL,AAV2-BDNF Gene Therapy,aav2 bdnf gene therapy,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT05256134,Hoffmann-La Roche,A Study to Evaluate the Efficacy and Safety of Gantenerumab in Participants at Risk for or at the Earliest Stages of Alzheimer's Disease (AD),DRUG,Gantenerumab,gantenerumab,sponsor_developed_therapeutic,matched official pipeline record for Roche (Gantenerumab) but source_url is blank — treat as unverified pending a citation,True,Gantenerumab,,pipeline_record_match_without_source,medium,True,Therapeutic Drug,confirmed or unsourced official sponsor-pipeline match,rule_classification,medium,False,
NCT05256134,Hoffmann-La Roche,A Study to Evaluate the Efficacy and Safety of Gantenerumab in Participants at Risk for or at the Earliest Stages of Alzheimer's Disease (AD),DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT03533257,Amylyx Pharmaceuticals Inc.,Study to Assess the Safety and Biological Activity of AMX0035 for the Treatment of Alzheimer's Disease,DRUG,AMX0035,amx0035,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
